Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,56100,Transport Systems Eval,202210,Fall 2021,001,24343,"Gkritza, Konstantina",35.0%,10.0%,,,,,35.0%,,,15.0%,,,,,,,,,,,,,,,,5.0%,,,,
,,56500,Traffic Engr Oper Cont,202210,Fall 2021,003,26248,"Feng, Yiheng",42.9%,4.8%,9.5%,,4.8%,9.5%,9.5%,,,,,,,,,,,,,,,,,,,19.0%,,,,
,,56600,Transportation Plan,202210,Fall 2021,001,24347,"Fricker, Jon D.",91.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3%
,,57000,Adv Struct Mech,202210,Fall 2021,001,48967,"Sharma, Akanshu",55.2%,,27.6%,,17.2%,,,,,,,,,,,,,,,,,,,,,,,,,
,,57300,Structural Dynamics,202210,Fall 2021,001,12932,"Dyke, Shirley J.",19.4%,16.1%,9.7%,,19.4%,6.5%,29.0%,,,,,,,,,,,,,,,,,,,,,,,
,,57600,Adv Reinf Concrt Dsign,202210,Fall 2021,002,48965,"Williams, Christopher S.",35.5%,6.5%,3.2%,,16.1%,3.2%,6.5%,,3.2%,12.9%,,,3.2%,,3.2%,,,,,,,,,,,3.2%,3.2%,,,
,,59100,Adv Struct Steel Des,202210,Fall 2021,001,23151,"Bowman, Mark D.",41.2%,5.9%,,,35.3%,5.9%,2.9%,2.9%,,5.9%,,,,,,,,,,,,,,,,,,,,
,,59700,Adj Geospatial Observations,202210,Fall 2021,001,53229,"Jung, Jinha",14.3%,28.6%,7.1%,,14.3%,,28.6%,7.1%,,,,,,,,,,,,,,,,,,,,,,
,,,Adv Proj Mgmt & Analysis,202210,Fall 2021,070,48996,"Bowen, Robert L.",41.4%,,58.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Digital Photogrammetric Syst,202210,Fall 2021,010,23081,"Habib, Ayman F.",31.6%,15.8%,,,15.8%,,31.6%,,,,,,,,,,,,,,,,,,,5.3%,,,,
,,,Disasters & Emergencies,202210,Fall 2021,191,25841,"Whelton, Andrew J.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Geospatial Data Analytics,202210,Fall 2021,187,24352,"Shan, Jie",27.8%,5.6%,16.7%,,11.1%,11.1%,16.7%,5.6%,,,,,,,5.6%,,,,,,,,,,,,,,,
,,,Nonlinear Fracture Mechanics,202210,Fall 2021,188,24353,"Zavattieri, Pablo D.",76.0%,,24.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prof MS Dev Seminar I,202210,Fall 2021,176,24241,"Abraham, Dulcy M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sustain Bldg Dsgn Constr&Oper,202210,Fall 2021,173,23817,"Karava, Panagiota",9.1%,,9.1%,,18.2%,,27.3%,9.1%,,,,,,,,,,,,,,,,,,27.3%,,,,
,,,Virt Real Tech Construction,202210,Fall 2021,189,25799,"Dunston, Phillip S.",20.0%,20.0%,10.0%,,10.0%,15.0%,20.0%,,5.0%,,,,,,,,,,,,,,,,,,,,,
,,59801,Brkthru Thnkng For Cmpl Chllng,202210,Fall 2021,001,27572,"Sinfield, Joseph V.",48.5%,21.2%,21.2%,,,,9.1%,,,,,,,,,,,,,,,,,,,,,,,
,,69100,CE Sem-Construction,202210,Fall 2021,009,15714,"Hastak, Makarand",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,,CE Sem-Gr Stdnt Orient,202210,Fall 2021,008,64675,"Abraham, Dulcy M.",,,,,,,,,,,,,,,,,,,,,,,98.8%,,1.2%,,,,,
,,,CE Sem-Hydraul & Hyd,202210,Fall 2021,001,12971,"Troy, Cary D.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,,CE Sem-Structural,202210,Fall 2021,005,12975,"Irfanoglu, Ayhan",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,,CE Sem-Transportation,202210,Fall 2021,006,12976,"Sinha, Kumares C.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,69700,Seismic Dsgn Steel Structures,202210,Fall 2021,001,18486,"Varma, Amit H.",92.3%,,,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69900,Research PhD Thesis,202210,Fall 2021,058,53739,"Varma, Amit H.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
CEM,CEM-Construction Engr & Mgmt,20100,Life Cycle Engr Construct Fac,202210,Fall 2021,001,51168,"Cai, Hubo",10.3%,24.1%,3.4%,,10.3%,3.4%,13.8%,3.4%,3.4%,20.7%,6.9%,,,,,,,,,,,,,,,,,,,
,,30100,Proj Cntrl Life Cyc Constr Fac,202210,Fall 2021,002,64715,"Mohammadhasanzadeh, Sogand",37.0%,18.5%,11.1%,,11.1%,3.7%,7.4%,3.7%,,,3.7%,,,,3.7%,,,,,,,,,,,,,,,
,,32400,Human Resource Mgmt In Constr,202210,Fall 2021,001,54147,"Gervais, Victor P.",65.4%,,,,30.8%,,,,,,,,,,3.8%,,,,,,,,,,,,,,,
,,38000,CEM Prof Development II,202210,Fall 2021,001,15841,"Fulk, Brandon M.",46.2%,11.5%,19.2%,,7.7%,3.8%,3.8%,,,7.7%,,,,,,,,,,,,,,,,,,,,
,,42501,Construction Capstone I,202210,Fall 2021,001,23966,"Fulk, Brandon M.",40.0%,11.4%,14.3%,,,2.9%,22.9%,2.9%,2.9%,2.9%,,,,,,,,,,,,,,,,,,,,
,,45500,Temp Structures Construction,202210,Fall 2021,001,19869,"Mccullouch, Bobby G.",6.1%,15.2%,,,24.2%,15.2%,6.1%,6.1%,12.1%,3.0%,,,,,6.1%,,,,,,,,,,,6.1%,,,,
,,49700,Ldrshp & Adv Proj Mgmt,202210,Fall 2021,010,48710,"Bowen, Robert L.",16.7%,29.2%,20.8%,,20.8%,4.2%,8.3%,,,,,,,,,,,,,,,,,,,,,,,
,,53100,Facilities Engineering,202210,Fall 2021,001,26449,"Weidner, Theodore J.",95.8%,,,,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,
CGT,CGT-Computer Graphics Tech,10101,Found Of Comp Graphics Tech,202210,Fall 2021,001,65496,"Dorribo Camba, Jorge",18.4%,23.7%,,,7.9%,10.5%,10.5%,5.3%,10.5%,2.6%,,2.6%,,,7.9%,,,,,,,,,,,,,,,
,,10301,Geometric Modeling Applcations,202210,Fall 2021,001,21871,"Astheimer, Rosemary L.",9.1%,17.4%,7.4%,0.8%,8.3%,9.9%,9.1%,6.6%,3.3%,3.3%,1.7%,2.5%,0.8%,,6.6%,,,,,,,,,,,13.2%,,,,
,,10501,Introduction To Games,202210,Fall 2021,006,22006,"Howard, Robert T.",78.4%,,,1.1%,4.5%,,,5.7%,,,1.1%,,,,5.7%,,,,,,,,,,,3.4%,,,,
,,11200,Sketch Visualiz & Comm,202210,Fall 2021,004,23796,"Triplett, Daniel P.",51.3%,,2.6%,,28.2%,,,7.7%,,,5.1%,,,,5.1%,,,,,,,,,,,,,,,
,,11301,Product Data Management,202210,Fall 2021,003,12371,"Astheimer, Rosemary L.",50.0%,,11.1%,,11.1%,11.1%,11.1%,,,,,,,,,,,,,,,,,,,5.6%,,,,
,,11600,Geom Mdl Visual & Comm,202210,Fall 2021,001,13698,"Triplett, Daniel P.",35.9%,,20.5%,,11.5%,,,3.8%,,,3.8%,,,,12.8%,,2.6%,,,,,,,,,9.0%,,,,
,,11800,Fund Of Imaging Tech,202210,Fall 2021,013,22615,"Giri, Nandhini",15.2%,10.2%,43.7%,,3.0%,1.5%,7.1%,1.0%,2.0%,1.5%,,1.5%,,,11.2%,,1.0%,,,,,,,,,1.0%,,,,
,,12300,Animation Foundations,202210,Fall 2021,001,22209,"Buchanan, Andrew",77.8%,,,,11.1%,,,2.2%,,,,,,,8.9%,,,,,,,,,,,,,,,
,,14100,"Internet Found,Tch&Dev",202210,Fall 2021,001,13704,"Morales, Carlos R.",26.8%,3.7%,43.7%,,10.5%,0.5%,,3.2%,0.5%,,3.7%,,,,5.8%,,0.5%,,,,,,,,,1.1%,,,,
,,14700,Visual Effects Introduction,202210,Fall 2021,003,19486,"Morales, Carlos R.",40.0%,4.0%,28.0%,,,,,12.0%,,,,,,,8.0%,,4.0%,,,,,,,,,4.0%,,,,
,,16300,Graphical Comm & Spatial Anly,202210,Fall 2021,004,13722,"Liu, Huimin",87.5%,,,,4.2%,,,4.2%,,,4.2%,,,,,,,,,,,,,,,,,,,
,,,,,,006,37192,"Cui, Dixuan",73.9%,,,,21.7%,,,4.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,007,13717,"Khawaja, Mohammad Raza",92.0%,,,,8.0%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,37193,"Liu, Huimin",68.0%,,,,16.0%,,,,,,,,,,8.0%,,,,,,,,,,,8.0%,,,,
,,,,,,009,13714,"Khawaja, Mohammad Raza",60.0%,,,,20.0%,,,,,,,,,,12.0%,,,,,,,,,,,8.0%,,,,
,,,,,,010,11641,"Khawaja, Mohammad Raza",87.0%,,,,8.7%,,,4.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,011,37191,"Cui, Dixuan",83.3%,,,,8.3%,,,4.2%,,,,,,,,,,,4.2%,,,,,,,,,,,
,,,,,,014,65189,"Liu, Huimin",84.0%,,,,4.0%,,,4.0%,,,,,,,4.0%,,,,,,,,,,,4.0%,,,,
,,,,,,015,13716,"Liu, Huimin",87.5%,,,,8.3%,,,,,,,,,,,,4.2%,,,,,,,,,,,,,
,,,,,,016,13721,"Liu, Huimin",87.5%,,,,8.3%,,,,,,4.2%,,,,,,,,,,,,,,,,,,,
,,,,,,017,13710,"Kapoor, Kushagra",83.3%,,,,8.3%,,,,,,4.2%,,,,4.2%,,,,,,,,,,,,,,,
,,,,,,018,65153,"Khawaja, Mohammad Raza",75.0%,,,,15.0%,,,,,,5.0%,,,,5.0%,,,,,,,,,,,,,,,
,,,,,,019,13719,"Kapoor, Kushagra",85.7%,,,,9.5%,,,4.8%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,025,23115,"Cui, Dixuan",95.7%,,,,,,,4.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,026,23116,"Mazumdar, Angshuman",76.0%,,,,12.0%,,,4.0%,,,,,,,4.0%,,,,,,,,,,,4.0%,,,,
,,,,,,027,23117,"Cao, Zhiwen",87.5%,,,,4.2%,,,4.2%,,,4.2%,,,,,,,,,,,,,,,,,,,
,,,,,,028,23118,"Mazumdar, Angshuman",69.6%,,,,8.7%,,,,,,8.7%,,,,8.7%,,,,,,,,,,,4.3%,,,,
,,,,,,029,23119,"Mazumdar, Angshuman",82.6%,,,,8.7%,,,,,,,,,,4.3%,,,,,,,,,,,4.3%,,,,
,,,,,,030,23120,"Cao, Zhiwen",86.4%,,,,,,,4.5%,,,,,,,9.1%,,,,,,,,,,,,,,,
,,,,,,031,24271,"Cao, Zhiwen",76.0%,,,,20.0%,,,4.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,032,24272,"Cui, Dixuan",90.9%,,,,9.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,033,24274,"Cao, Zhiwen",91.3%,,,,,,,4.3%,,,,,,,,,,,,,,,,,,4.3%,,,,
,,,,,,034,24275,"Cao, Zhiwen",80.0%,,,,12.0%,,,4.0%,,,,,,,4.0%,,,,,,,,,,,,,,,
,,,,,,035,24279,"Cui, Dixuan",95.8%,,,,,,,,,,,,,,4.2%,,,,,,,,,,,,,,,
,,,,,,036,24282,"Khawaja, Mohammad Raza",84.0%,,,,8.0%,,,,,,,,,,4.0%,,,,,,,,,,,4.0%,,,,
,,,,,,037,24284,"Mazumdar, Angshuman",81.0%,,,,14.3%,,,4.8%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,038,24289,"Mazumdar, Angshuman",79.2%,,,,12.5%,,,,,,4.2%,,,,4.2%,,,,,,,,,,,,,,,
,,16400,Graphics For CE &Const,202210,Fall 2021,SC1,13729,"Cory, Clark A.",25.8%,,17.2%,,19.1%,,7.1%,10.9%,1.5%,3.0%,4.1%,,,,5.6%,,1.1%,,,,,,,,,4.1%,0.4%,,,
,,21301,Simulation &Visual Applcations,202210,Fall 2021,003,11968,"Dorribo Camba, Jorge",29.0%,45.2%,,,6.5%,,12.9%,,,,,,3.2%,,,,,,,,,,,,,3.2%,,,,
,,21500,Comptr Graph Program I,202210,Fall 2021,001,37138,"Kesselman, Jeffrey P.",16.5%,3.8%,39.2%,,8.9%,2.5%,1.3%,6.3%,,1.3%,1.3%,,1.3%,,11.4%,,3.8%,,,,,,,,,2.5%,,,,
,,24100,Intro Comptr Animation,202210,Fall 2021,001,13758,"Garcia, Isaiah M.",66.7%,,,,20.0%,,,6.7%,,,,,,,6.7%,,,,,,,,,,,,,,,
,,,,,,003,11905,"Garcia, Isaiah M.",78.3%,,,,8.7%,,,,,,,,,,,,4.3%,,,,,,,,,8.7%,,,,
,,24500,Game Development I,202210,Fall 2021,001,21769,"Whittinghill, David M.",82.1%,,,,7.1%,,,3.6%,,,,,,,4.5%,,,,,,,,,,,2.7%,,,,
,,24700,VFX-Particles & Procedural FX,202210,Fall 2021,002,19972,"Triplett, Daniel P.",70.6%,,,,11.8%,,,,,,,,,,11.8%,,5.9%,,,,,,,,,,,,,
,,25600,Principles Of UX Design,202210,Fall 2021,003,15463,"Rasche, Nancy J.",9.8%,58.5%,,,2.4%,7.3%,17.1%,2.4%,,2.4%,,,,,,,,,,,,,,,,,,,,
,,26200,Intr To Constr Graphic,202210,Fall 2021,002,11077,"George, Sarah J.",17.4%,26.1%,26.1%,,4.3%,4.3%,,,,4.3%,4.3%,,,,13.0%,,,,,,,,,,,,,,,
,,27000,Intro To Data Visualization,202210,Fall 2021,008,26636,"Ansari, Subia",9.6%,26.5%,1.2%,,10.8%,7.2%,1.2%,8.4%,6.0%,1.2%,3.6%,6.0%,,,16.9%,,,,,,,,,,,,1.2%,,,
,,,,,,LC3,15345,"Ansari, Subia",16.7%,22.2%,5.6%,,5.6%,,,11.1%,,,5.6%,5.6%,5.6%,,22.2%,,,,,,,,,,,,,,,
,,27001,Topics In Data Visualization,202210,Fall 2021,001,26256,"Ansari, Subia",,,,,,,,,,,,,,,,,,,47.6%,,47.6%,,,,,4.8%,,,,
,,27108,UXD Studio II: Screen,202210,Fall 2021,001,18994,"Gray, Colin M.",21.3%,27.7%,10.6%,,10.6%,6.4%,12.8%,4.3%,,4.3%,,,,,,,,,,,,,,,,2.1%,,,,
,,27207,UXD Experience Studio II,202210,Fall 2021,001,12377,"Rasche, Nancy J.",8.5%,44.7%,,,12.8%,8.5%,21.3%,,,,,,,,2.1%,,,,,,,,,,,2.1%,,,,
,,31301,Bus Of Managing Digt Prod Data,202210,Fall 2021,001,20878,"Fuerst, Travis J.",14.3%,42.9%,7.1%,,,3.6%,10.7%,3.6%,3.6%,7.1%,,,,,3.6%,,,,,,,,,,,3.6%,,,,
,,32101,Digital Illustration,202210,Fall 2021,001,14970,"Arora, Harsheil",60.9%,17.4%,17.4%,,,,,,,,,,,,,,,,,,,,,,,4.3%,,,,
,,,Digital Illustration-Honors,202210,Fall 2021,001,14970,"Arora, Harsheil",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34000,Digital Light & Render,202210,Fall 2021,001,13781,"Heller, Joshua E.",25.9%,,,,37.0%,3.7%,22.2%,,,,,3.7%,,,7.4%,,,,,,,,,,,,,,,
,,,,,,003,19903,"Heller, Joshua E.",10.0%,16.7%,,,33.3%,13.3%,6.7%,6.7%,3.3%,,,,,,6.7%,,3.3%,,,,,,,,,,,,,
,,34100,Motion For Comp Anim,202210,Fall 2021,001,13784,"Guo, Siqi",47.6%,,,,28.6%,,,14.3%,,,,,,,9.5%,,,,,,,,,,,,,,,
,,34500,Game Development III,202210,Fall 2021,001,63387,"Howard, Robert T.",80.6%,,,,9.7%,,,6.5%,,,,,,,3.2%,,,,,,,,,,,,,,,
,,,Game Development III-Honors,202210,Fall 2021,001,63387,"Howard, Robert T.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35300,Principles Of Interact Media,202210,Fall 2021,001,24111,"Baigelenov, Ali",19.4%,,61.1%,,2.8%,,,,5.6%,,,,,,11.1%,,,,,,,,,,,,,,,
,,35600,"Web Prog,Dev&Data Intg",202210,Fall 2021,011,24113,"Baigelenov, Ali",31.8%,9.1%,27.3%,,,4.5%,,4.5%,,,4.5%,,,,18.2%,,,,,,,,,,,,,,,
,,37108,UXD Studio IV: Strategy,202210,Fall 2021,001,18995,"Toombs, Austin L.",21.1%,31.6%,7.9%,,21.1%,,7.9%,5.3%,,5.3%,,,,,,,,,,,,,,,,,,,,
,,37207,UXD Experience Studio III,202210,Fall 2021,001,12385,"Rasche, Nancy J.",21.1%,44.7%,5.3%,,7.9%,2.6%,18.4%,,,,,,,,,,,,,,,,,,,,,,,
,,37700,Scientific Visualization,202210,Fall 2021,001,13542,"Guo, Xiaolei",21.1%,,47.4%,,10.5%,,21.1%,,,,,,,,,,,,,,,,,,,,,,,
,,41101,Problems In Appl Comp Graph I,202210,Fall 2021,001,11971,"Morales, Carlos R.",46.8%,2.9%,33.9%,,13.5%,,,2.9%,,,,,,,,,,,,,,,,,,,,,,
,,44200,Productn Cmptr Animatn,202210,Fall 2021,003,13530,"Guo, Siqi",34.4%,15.6%,3.1%,,9.4%,3.1%,3.1%,12.5%,9.4%,,,3.1%,3.1%,,3.1%,,,,,,,,,,,,,,,
,,46200,Appl Constr Documnt II,202210,Fall 2021,001,52992,"Cory, Clark A.",34.2%,,13.2%,,21.1%,,10.5%,13.2%,,2.6%,,,,,,,,,,,,,,,,5.3%,,,,
,,47000,Data Visualization Studio,202210,Fall 2021,001,14964,"Chen, Yingjie",83.3%,,16.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50100,Seminar In CGT,202210,Fall 2021,001,22596,"Adamo, Nicoletta",80.9%,10.6%,,,4.3%,,,,,,,,,,2.1%,,,,,,,,,,,2.1%,,,,
,,51200,Foundational Readings Of UX,202210,Fall 2021,001,13809,"Williams, Rua M.",61.1%,5.6%,,,16.7%,,11.1%,,,,,,,,,,,,,,,,,,,5.6%,,,,
,,51500,Virtual Environments,202210,Fall 2021,001,24513,"Mousas, Christos",94.7%,,,,,,,,,,,,,,,,,,,,,,,,,5.3%,,,,
,,52000,Computer Graphics Programming,202210,Fall 2021,002,21488,"Mcgraw, Tim E.",60.0%,,13.3%,6.7%,,,6.7%,,,,,,,,,,,,,,,,,,,13.3%,,,,
,,52200,UXD GR Studio I: Fundamentals,202210,Fall 2021,001,26620,"Parsons, Paul",66.7%,28.6%,,,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,
,,54500,Game Development I,202210,Fall 2021,001,24110,"Whittinghill, David M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58100,Artificial Intel Comp Grphcs,202210,Fall 2021,001,26010,"Benes, Bedrich",25.0%,20.0%,40.0%,,5.0%,,,,,,,,,,,,,,,,,,,,,10.0%,,,,
CHE,CHE-Chemical Engineering,20000,Chem Engr Semnr,202210,Fall 2021,001,22700,"Nagy, Gabriela",26.0%,6.6%,60.7%,,1.0%,,1.5%,1.0%,,0.5%,0.5%,0.5%,1.0%,,0.5%,,,,,,,,,,,,,,,
,,20100,Co-Op Seminar I,202210,Fall 2021,001,13826,"Nagy, Gabriela",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,20500,Ch Engr Calculations,202210,Fall 2021,001,13827,"Masuku, Cornelius M.",15.4%,7.4%,,,8.0%,8.6%,9.7%,15.4%,,7.4%,11.4%,,,,13.1%,,,,0.6%,,,,,,,2.9%,,,,
,,21100,Ch Engr Thermodynamics,202210,Fall 2021,001,42925,"Greeley, Jeffrey P.",10.7%,14.3%,3.6%,,8.9%,3.6%,7.1%,12.5%,7.1%,7.1%,3.6%,5.4%,,,16.1%,,,,,,,,,,,,,,,
,,30100,Co-Op Seminar II,202210,Fall 2021,001,45833,"Nagy, Gabriela",,,,,,,,,,,,,,,,,,,,,,,94.7%,,5.3%,,,,,
,,30600,Des Staged Separ Proc,202210,Fall 2021,001,13838,"Harris, Michael T.",19.4%,12.0%,8.3%,,9.3%,11.1%,15.7%,8.3%,2.8%,3.7%,2.8%,,,,5.6%,,,,,,,,,,,0.9%,,,,
,,32000,Stat Mdl & Qual Enhnce,202210,Fall 2021,003,12589,"Thomson, Kendall T.",19.1%,6.4%,12.8%,,10.6%,2.1%,34.0%,2.1%,2.1%,2.1%,,,2.1%,,6.4%,,,,,,,,,,,,,,,
,,34800,Chem Reaction Engr,202210,Fall 2021,001,13847,"Martinez Sainz, Enrico",20.7%,10.3%,17.2%,,13.8%,10.3%,17.2%,3.4%,,,,,,,6.9%,,,,,,,,,,,,,,,
,,37700,Momentum Transfer,202210,Fall 2021,001,13851,"Kim, Sangtae",80.2%,,3.8%,,12.3%,,1.9%,0.9%,,,,,,,0.9%,,,,,,,,,,,,,,,
,,37800,Heat And Mass Transfer,202210,Fall 2021,001,13858,"Xiao, Yang",8.1%,4.1%,5.4%,,21.6%,21.6%,10.8%,12.2%,4.1%,9.5%,1.4%,1.4%,,,,,,,,,,,,,,,,,,
,,40000,ChE Seminar,202210,Fall 2021,001,23209,"Nagy, Gabriela",1.2%,,96.4%,,,,1.2%,0.6%,,0.6%,,,,,,,,,,,,,,,,,,,,
,,41200,Chem-E Car Design,202210,Fall 2021,002,22349,"Masuku, Cornelius M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42000,Process Safety Mgmt & Anlys,202210,Fall 2021,003,13096,"Mentzer, Ray A.",14.5%,12.7%,9.6%,,16.9%,14.5%,16.9%,5.4%,3.0%,4.2%,1.8%,,,,0.6%,,,,,,,,,,,,,,,
,,43500,Chemical Engineering Lab,202210,Fall 2021,002,51100,"Martinez Sainz, Enrico",28.0%,30.5%,15.9%,,9.8%,3.7%,12.2%,,,,,,,,,,,,,,,,,,,,,,,
,,45000,Desgn & Anly Proc Sys,202210,Fall 2021,001,21560,"Siirola, Jeffrey J.",18.2%,27.3%,,9.1%,18.2%,18.2%,,9.1%,,,,,,,,,,,,,,,,,,,,,,
,,45600,Proc Dynamics & Contr,202210,Fall 2021,013,21550,"Nagy, Zoltan",21.3%,6.5%,11.2%,,22.5%,9.5%,4.7%,10.1%,2.4%,9.5%,0.6%,,,,1.2%,,,,,,,,,,,0.6%,,,,
,,46100,Biomedical Engineering,202210,Fall 2021,001,26735,"Hannemann, Robert E.",43.8%,12.5%,25.0%,,12.5%,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,54300,Polym React Engr,202210,Fall 2021,001,14193,"Won, You-Yeon",38.5%,7.7%,15.4%,,15.4%,,15.4%,,,,,,,,,,,,,,,,,,,7.7%,,,,
,,55300,Pharm Process Develop & Design,202210,Fall 2021,001,14194,"Reklaitis, Gintaras V.",18.8%,25.0%,18.8%,,18.8%,12.5%,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,59700,Anly Apprch Hlthcre Deliv,202210,Fall 2021,H02,18602,"Clark, William R.",78.6%,,21.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Enr App In Mrkt Mgmt,202210,Fall 2021,024,23670,"Brown, Robert E.",57.1%,,42.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food & Energy Farms,202210,Fall 2021,032,21744,"Agrawal, Rakesh",45.5%,,,,54.5%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Industrial Catalytic Processes,202210,Fall 2021,003,15308,"Miller, Jeffrey T.",56.3%,18.8%,,,12.5%,,12.5%,,,,,,,,,,,,,,,,,,,,,,,
,,,Industrial Chemical Technology,202210,Fall 2021,015,21558,"Siirola, Jeffrey J.",81.6%,,,,15.8%,,,2.6%,,,,,,,,,,,,,,,,,,,,,,
,,,Intro To Engr Math,202210,Fall 2021,035,22256,"Caruthers, James M.",22.2%,5.6%,5.6%,,27.8%,16.7%,22.2%,,,,,,,,,,,,,,,,,,,,,,,
,,,Purdue Military Rch Instit Sem,202210,Fall 2021,037,28038,"Dietz, James E.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61000,Adv Chem Engr Thermo,202210,Fall 2021,001,13922,"Corti, David S.",17.1%,2.9%,,,57.1%,17.1%,5.7%,,,,,,,,,,,,,,,,,,,,,,,
,,62000,Trans Phenomena I,202210,Fall 2021,001,13923,"Narsimhan, Vivek",23.7%,26.3%,7.9%,,15.8%,15.8%,10.5%,,,,,,,,,,,,,,,,,,,,,,,
,,63000,Applied Math Chem Engr,202210,Fall 2021,001,13924,"Savoie, Brett",34.4%,31.3%,,,6.3%,3.1%,25.0%,,,,,,,,,,,,,,,,,,,,,,,
,,63200,Linear Operator Che,202210,Fall 2021,001,21836,"Ramkrishna, Doraiswami",78.6%,7.1%,,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66600,Methods In Catalysis,202210,Fall 2021,001,14201,"Gounder, Rajamani P.",46.7%,26.7%,,,,,20.0%,,,,,,,,,,,,,,,,,,,,,,,6.7%
,,69000,Chem Engr Seminar,202210,Fall 2021,002,56753,"Corti, David S.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,69700,Chem Engr Teaching Experience,202210,Fall 2021,011,42978,"Thomson, Kendall T.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,,Safety In CHE,202210,Fall 2021,032,17233,"Nagy, Gabriela",45.7%,34.3%,8.6%,,5.7%,,5.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,Statistical Methods In CHE,202210,Fall 2021,041,13566,"Thomson, Kendall T.",29.2%,16.7%,12.5%,4.2%,20.8%,,12.5%,4.2%,,,,,,,,,,,,,,,,,,,,,,
,,69800,Research MS Thesis,202210,Fall 2021,017,13962,"Morgan, John A.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
CHM,CHM-Chemistry,11100,General Chemistry,202210,Fall 2021,001,14040,"Harwood, Cynthia A.",33.5%,,,,31.9%,,,17.7%,,,6.4%,,,,7.8%,,,,,,0.3%,,,,,2.4%,,,,
,,,,,,002,14038,"Harwood, Cynthia A.",38.7%,,,,32.1%,,,13.5%,,,6.3%,,,,7.2%,,,,,,,,,,,2.3%,,,,
,,,,,,003,14039,"Harwood, Cynthia A.",36.4%,,,,34.2%,,,15.5%,,,4.5%,,,,7.3%,,,,,,,,,,,2.0%,,,,
,,11500,General Chemistry,202210,Fall 2021,001,14183,"Doucette, Suzanne C.",16.7%,15.0%,5.4%,,11.5%,8.8%,16.0%,4.2%,2.5%,10.8%,1.0%,0.6%,2.7%,,3.5%,,,,,,,,,,,1.3%,,,,
,,,,,,002,14184,"Doucette, Suzanne C.",13.8%,11.5%,3.6%,,11.7%,11.0%,15.3%,5.3%,3.6%,12.7%,1.1%,1.1%,3.2%,,4.7%,,,,,,,,,,,1.5%,,,,
,,,,,,003,19394,"Ren, Tong",18.2%,9.8%,6.9%,,11.1%,9.0%,15.9%,4.2%,5.9%,8.4%,1.5%,1.3%,3.3%,,2.7%,,,,0.2%,,,,,,,1.7%,,,,
,,,,,,421,25623,"Ren, Tong",15.1%,12.3%,6.1%,,10.5%,12.7%,13.6%,5.5%,3.9%,9.6%,2.6%,0.2%,2.4%,,2.0%,,0.2%,,,,,,,,,3.3%,,,,
